author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
10244,2022,0,12.524073,12.524073,12.524073,1.3862944,1.3862944,1.3862944,0.72222221,0.19359419,0.70694864,0.64543283,31,2.1972246,0.74363065,3.6888795,0,1,0,1,0,1
10244,2023,0,12.524073,12.524073,12.524073,1.3862944,1.3862944,1.3862944,0.4237189,,,0.40878987,32,2.3978953,0.79410613,3.8286414,0,1,0,1,0,1
10245,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23432617,0.15349886,0.66060609,0.43492368,4,1.3862944,0.60750037,2.3978953,0,1,0,1,1,0
10245,2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21350764,,0.48927039,0.59775585,5,1.7917595,0.6009832,0.0,0,1,0,1,1,0
10245,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152571,0.094014905,0.53731346,0.59326708,6,1.7917595,1.5270185,2.7725887,0,1,0,1,1,0
10245,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.37650463,,0.55813956,0.57988214,7,1.9459101,0.68161809,0.0,0,1,0,1,1,0
10245,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.21186197,,0.67015707,0.7734015,8,2.3025851,0.79827863,2.3025851,0,1,0,1,1,0
10245,2019,0,0.0,0.0,10.224339,0.0,0.0,0.69314718,0.21451066,0.088210322,0.65247256,0.64052993,9,2.8332133,0.50747305,2.6390574,0,1,0,1,1,0
10245,2020,0,0.0,0.0,10.224339,0.0,0.0,0.69314718,0.30169481,,0.66386557,0.63362068,10,2.3025851,0.36365899,1.9459101,0,1,0,1,1,0
10245,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15858977,,0.75173098,0.68557709,11,3.2958369,1.9274461,0.69314718,0,1,0,1,1,0
10245,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33307612,,0.71961105,0.6586625,12,2.6390574,1.8704907,1.3862944,0,1,0,1,1,0
10245,2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18083985,,,0.7993632,13,1.9459101,0.8482269,0.0,0,1,0,1,1,0
10246,2014,0,13.500463,13.500463,13.500463,1.6094379,1.6094379,1.6094379,0.54875362,0.099201493,0.55197132,0.45043641,21,1.7917595,0.32630327,2.7080503,0,1,0,1,0,1
10246,2015,0,14.113619,14.113619,14.113619,1.6094379,1.6094379,1.6094379,0.43333334,0.11084691,0.56060606,0.36232078,22,0.69314718,0.76842415,0.69314718,0,1,0,1,0,1
10246,2016,0,14.113619,14.113619,14.113619,1.6094379,1.6094379,1.6094379,0.46666667,0.13425022,0.56578946,0.43585405,23,1.3862944,0.71802306,2.5649493,0,1,0,1,0,1
10246,2017,0,14.113619,14.113619,14.113619,1.6094379,1.6094379,1.6094379,0.58551431,0.10605381,0.62452108,0.47427335,24,1.7917595,0.45169783,2.7725887,0,1,0,1,0,1
10246,2018,0,14.113619,14.113619,14.113619,1.6094379,1.6094379,1.6094379,0.0,0.15367784,0.85714287,0.61207092,25,0.69314718,0.17927891,1.0986123,0,1,0,1,0,1
